Region,Jurisdiction,Country,Filing_Status,Tax_Credit_Amount,Credit_Type
Federal,USA,USA,Single,0,federal
Federal,USA,USA,Married,0,federal
Federal,Canada,Canada,Single,15705,federal
Federal,Canada,Canada,Married,15705,federal
State_Province,Alabama,USA,Single,0,state
State_Province,Alabama,USA,Married,0,state
State_Province,Alaska,USA,Single,0,state
State_Province,Alaska,USA,Married,0,state
State_Province,Arizona,USA,Single,0,state
State_Province,Arizona,USA,Married,0,state
State_Province,Arkanasas,USA,Single,0,state
State_Province,Arkanasas,USA,Married,0,state
State_Province,California,USA,Single,0,state
State_Province,California,USA,Married,0,state
State_Province,Colorado,USA,Single,0,state
State_Province,Colorado,USA,Married,0,state
State_Province,Connecticut,USA,Single,0,state
State_Province,Connecticut,USA,Married,0,state
State_Province,Delaware,USA,Single,0,state
State_Province,Delaware,USA,Married,0,state
State_Province,Florida,USA,Single,0,state
State_Province,Florida,USA,Married,0,state
State_Province,Georgia,USA,Single,0,state
State_Province,Georgia,USA,Married,0,state
State_Province,Hawaii,USA,Single,0,state
State_Province,Hawaii,USA,Married,0,state
State_Province,Idaho,USA,Single,0,state
State_Province,Idaho,USA,Married,0,state
State_Province,Illinois,USA,Single,0,state
State_Province,Illinois,USA,Married,0,state
State_Province,Indiana,USA,Single,0,state
State_Province,Indiana,USA,Married,0,state
State_Province,Iowa,USA,Single,0,state
State_Province,Iowa,USA,Married,0,state
State_Province,Kansas,USA,Single,0,state
State_Province,Kansas,USA,Married,0,state
State_Province,Kentucky,USA,Single,0,state
State_Province,Kentucky,USA,Married,0,state
State_Province,Louisiana,USA,Single,0,state
State_Province,Louisiana,USA,Married,0,state
State_Province,Maine,USA,Single,0,state
State_Province,Maine,USA,Married,0,state
State_Province,Maryland,USA,Single,0,state
State_Province,Maryland,USA,Married,0,state
State_Province,Massachusetts,USA,Single,0,state
State_Province,Massachusetts,USA,Married,0,state
State_Province,Michigan,USA,Single,0,state
State_Province,Michigan,USA,Married,0,state
State_Province,Minnesota,USA,Single,0,state
State_Province,Minnesota,USA,Married,0,state
State_Province,Mississippi,USA,Single,0,state
State_Province,Mississippi,USA,Married,0,state
State_Province,Missouri,USA,Single,0,state
State_Province,Missouri,USA,Married,0,state
State_Province,Montana,USA,Single,0,state
State_Province,Montana,USA,Married,0,state
State_Province,Nebraska,USA,Single,0,state
State_Province,Nebraska,USA,Married,0,state
State_Province,Nevada,USA,Single,0,state
State_Province,Nevada,USA,Married,0,state
State_Province,New Hampshire,USA,Single,0,state
State_Province,New Hampshire,USA,Married,0,state
State_Province,New Jersey,USA,Single,0,state
State_Province,New Jersey,USA,Married,0,state
State_Province,New Mexico,USA,Single,0,state
State_Province,New Mexico,USA,Married,0,state
State_Province,New York,USA,Single,0,state
State_Province,New York,USA,Married,0,state
State_Province,North Carolina,USA,Single,0,state
State_Province,North Carolina,USA,Married,0,state
State_Province,North Dakota,USA,Single,0,state
State_Province,North Dakota,USA,Married,0,state
State_Province,Ohio,USA,Single,0,state
State_Province,Ohio,USA,Married,0,state
State_Province,Oklahoma,USA,Single,0,state
State_Province,Oklahoma,USA,Married,0,state
State_Province,Oregan,USA,Single,0,state
State_Province,Oregan,USA,Married,0,state
State_Province,Pennsylvania,USA,Single,0,state
State_Province,Pennsylvania,USA,Married,0,state
State_Province,Rhode Island,USA,Single,0,state
State_Province,Rhode Island,USA,Married,0,state
State_Province,South Carolina,USA,Single,0,state
State_Province,South Carolina,USA,Married,0,state
State_Province,South Dakota,USA,Single,0,state
State_Province,South Dakota,USA,Married,0,state
State_Province,Tennessee,USA,Single,0,state
State_Province,Tennessee,USA,Married,0,state
State_Province,Texas,USA,Single,0,state
State_Province,Texas,USA,Married,0,state
State_Province,Utah,USA,Single,0,state
State_Province,Utah,USA,Married,0,state
State_Province,Vermont,USA,Single,0,state
State_Province,Vermont,USA,Married,0,state
State_Province,Virginia,USA,Single,0,state
State_Province,Virginia,USA,Married,0,state
State_Province,Washington,USA,Single,0,state
State_Province,Washington,USA,Married,0,state
State_Province,West Virginia,USA,Single,0,state
State_Province,West Virginia,USA,Married,0,state
State_Province,Wisconsin,USA,Single,0,state
State_Province,Wisconsin,USA,Married,0,state
State_Province,Wyoming,USA,Single,0,state
State_Province,Wyoming,USA,Married,0,state
State_Province,Washington DC,USA,Single,0,state
State_Province,Washington DC,USA,Married,0,state
State_Province,Alberta,Canada,Single,22323,state
State_Province,Alberta,Canada,Married,22323,state
State_Province,British Columbia,Canada,Single,12932,state
State_Province,British Columbia,Canada,Married,12932,state
State_Province,Manitoba,Canada,Single,15780,state
State_Province,Manitoba,Canada,Married,15780,state
State_Province,New Brunswick,Canada,Single,13396,state
State_Province,New Brunswick,Canada,Married,13396,state
State_Province,Newfoundland and Labrador,Canada,Single,11067,state
State_Province,Newfoundland and Labrador,Canada,Married,11067,state
State_Province,Northwest Territories,Canada,Single,17842,state
State_Province,Northwest Territories,Canada,Married,17842,state
State_Province,Nova Scotia,Canada,Single,11744,state
State_Province,Nova Scotia,Canada,Married,11744,state
State_Province,Nunavut,Canada,Single,19274,state
State_Province,Nunavut,Canada,Married,19274,state
State_Province,Ontario,Canada,Single,12747,state
State_Province,Ontario,Canada,Married,12747,state
State_Province,Prince Edward Island,Canada,Single,14650,state
State_Province,Prince Edward Island,Canada,Married,14650,state
State_Province,Québec,Canada,Single,18571,state
State_Province,Québec,Canada,Married,18571,state
State_Province,Saskatchewan,Canada,Single,19491,state
State_Province,Saskatchewan,Canada,Married,19491,state
State_Province,Yukon,Canada,Single,16129,state
State_Province,Yukon,Canada,Married,16129,state